What don't we know about hotel rooms?	Hotels; What Don't People Know About X?; 	and should.
What hotels in Spain & Portugal offer free wi-fi access in their rooms?	Spain; Portugal; Hotels and Lodging; Free Wi-Fi; 	
What are the benefits of renting vacation rentals vs hotels room?	Travel; Hotels; Vacation Rentals; 	
What is the typical annual profit for a 300 room 4 star hotel?	Hotels; 	Or perhaps a best estimate for a similar sized hotel.
What factors are at play when I check into a hotel and a room is being selected for me?	Hotels; 	Why and how do upgrades happen? Is it better to show up late? Early?
What's the best way to get a free hotel room upgrade?	Hotels; Travel; 	
What hotel brands and properties offer Apple TV as an in room experience?	Online Video; International Travel; Travel; Aloft Hotels; AirPlay (media streaming protocol); Starwood Preferred Guest; Hotels; Apple TV; Transformational Entertainment and Media; 	Is Aloft Bangkok the only property offering Apple TV in room?
What's the name of the beautiful radios in the rooms of the San Fransisco W Hotel?	W Hotels; 	
What's the average value differential of a corner room in a hotel or apartment building?	Apartments; Apartment Rentals; 	Corner rooms generally have more light and space.  Does that add 10%, 20% to their value over non-corner rooms?
What percentage of Las Vegas hotel rooms are occupied on an average night?	Hotels; Las Vegas; 	
What is the best way to book hotel rooms in las vegas for a convention?	Las Vegas; Hotels; 	A client of mine has a trade show to attend to in Vegas from May 30th-June 4th. I'd like to book 5 for my client's team. What is the best way to do convention room bookings? I'm hoping the process and costs (lower) are different than regular, individual bookings.
Is having a single room (in a hotel/apartment/dorm) worth the extra cost? (I know that the answer varies from person to person)	Travel; Dorms; Budget Travel; Hotels; Roommates; Apartments; 	
What is the average amount of time housekeeping spends per room to prepare a hotel room for a new guest?	Hospitality; Cleaning; Hotel Management; Housekeepers; 	3-star hotel, 4-star, or 5-star hotel.
What's the website in Europe that allows travelers to book "hotel" rooms that are really spare rooms at locals' homes?	Travel; Short Term Accommodations; 	It's not a house swapping service or couch surfing, but really functions more like a hotel (you get clean towels, etc)
Why don't hotel rooms have ceiling lights?	Hotel Design and Development; Hotels; Building Codes; Architecture; Fire Protection; Structural Engineering; Lighting; 	
Why don't hotel rooms have recycle bins?	Recycling; Hotels; 	Everywhere else but...
Is it possible to book specific rooms at a hotel?	Hotels; Travel; 	
How many hotel rooms are there in the US?	Hotels; 	
How many hotel rooms are in the world?	Hotels; 	
How are hotel room rates determined?	Business Strategy; 	When you book 5 nights in a hotel, usually each night (for the same room) will have a different price. The price is based on a number of factors including:  * season  * day of the week  * competitor prices   * inventory available Read details at http://www.analyticbridge.com/forum/topics/how-are-hotel-room-rates-determined
What should I know before moving into an "extended stay" hotel?	Hotels; Extended Stay; Hilton Hotels; Marriott; Business Travel; Hotel Management; Travel; Travel Hacks; Relocation; 	While I wait for my house to sell and family to join me, I'm moving into an "extended stay" hotel. Any tips on making the experience a bit more livable, safe, or affordable?
For a last minute CES 2011 traveler, what hotel is best to stay at that still has rooms available?	CES 2011; Travel; 	Yes, I stupidly waited until the last minute. Now need to book a hotel. Which one is best that still has rooms available?
What are the best daily deals startups/web services that offer hotel room deals?	Group Buying and Daily Deal Startups; Hotels; Hospitality; Deals (Daily, Group and Other); 	
What happens to the half-used toilet paper roll left in a hotel room bathroom?	Hotels; 	
What is an acceptable rate per hour that a pianist can charge for playing at hotels, dinning rooms, and functions?	Singers and Musicians; 	This is essentially background music as one would hear in some dinning rooms on cruise liners for example.
What are good ways to update Hotel Room rates from different travel website efficiently?	Booking Systems; 	I have listed my hotel on several travel booking websites, such as booking.com, agoda, expedia, etc. However it is so time consuming to update my hotel rates and availability on each of the website. I heard there are software/tools to submit same rate to all of this website. Does anyone know how?
I discovered my hotel room had bedbugs last night. Now I'm home, on the 'net, and I'm freaking out that I may have brought them with me. What do I do?	Hotels; Pest Control; Insect Control; Bedbugs; 	It had not occurred to me that I could be infesting my house. But about 20 second into an online search on all this I'm realizing I may be screwed. How do I handle this?
What is the most effective way to get a high quality (3+ star) hotel room in a major city at minimal cost?	Travel Hacks; Travel; Hotels; 	
What are the most common items taken\stolen from hotel rooms? Also the most common highest value item - bathrobes?	Hotel Management; 	
What do you think should be the core functionality of a Property Management System for small and medium hotels (up to 50 rooms)?	Survey Questions; Startups; Hotels; 	
Does Room 77 have a salesforce that they use to acquire hotel room inventory?	Booking Systems; Room 77; 	I just noticed that Room 77 rolled out the option to actually book hotel rooms through them. How has Room 77 acquired the inventory, through a salesforce or through some other channel?
How much do non-windowed rooms cost versus windowed rooms in hotels?	Hotels; 	Do hotels discount non-windowed rooms a specific percentage from the price they charge for rooms that have windows?
If your hotel room is a mess, could this make the hotel charge additional fees?	Hotels; 	
How many hotel rooms did Google book in 2010?	Google; Business Statistics; Hotels; 	
How can I get a hotel room for SXSW 2012?	Hotels; SXSWi; Austin, TX; SXSW 2012; SXSW; 	It seems every hotel in downtown Austin is sold out. Does anyone know of some way to find a room within walking distance of the convention center/downtown?
Why do hotels in Japan charge per person, not by room?	Japan; Japanese Culture; Travel; Hotels; 	It's frustrating to me that all accommodation in Japan charges by head, not by overall room price. Is there a specific reason for this kind of system?
When do Austin hotels release rooms that are blocked off by SXSW?	Hotels; Austin, TX; SXSW; SXSW 2011; SXSWi; Hotels in Austin, TX; 	
Is Priceline the cheapest way to buy hotel rooms online?	Price of Things; Priceline; 	
Do hotels/maids prefer that I leave the room cleaned?	Hotels; 	I typically make the bed, wipe down the counters in the bathroom, neatly pile all the towels I need replaced, and tie up the trash bags. I just hate the idea of making someone else clean up after me.
When and why does a hotel decide to offer room service?	Airbnb; International Travel; Hotels; Hotel Management; Startups; Travel; 	Is the cut off usually at a particular size, 200 rooms for example? Is room service offered to make additional revenue or merely to provide a better service to guests?
How come some hotel rooms always smell as new?	Body Odor; Hotel Management; Scents; Hotels; Smell and Smells; Best Hotels; Odor Removal; 	How do some good hotels get rid of the smell left by guests? When you check in at a hotel at 3 pm and enter the room, it smells as nothing has ever happened there, and maybe 2 or 3 hours before that, it was deeply saturated from all kind of smells and odors left from a person or a couple that had just left, you know, perfumes, body odors, clothes odors, etc.  Some people have very strong smells, and they only need some minutes to fill a room with their distinctive scent, good or bad. How come they can stay several days in a hotel room and then you enter and it smells perfectly neutral?
Are there some exercises that I can do in my hotel room that are good overall workouts? 	Exercise; Fitness; 	I travel a lot and don't often have time (or energy) to get to the gym or go out for  a run.
Can a hotel take two people in a single room?	Hotels; 	What if one occupant is registered, and the two occupants (privately) split the cost?
Is there a benefit to casinos pumping oxygen into hotel rooms?	Casinos; 	
Why do hotels not guarantee the safety of your valuables in their guests rooms?	Hotel Management; 	
Do hotels maintain accountability of room service crockery?	Hotels; 	i.e. could an unscrupulous guest lacking furnishings, or someone walking down a hallway, take silverware, plates, etc. from room service trays (used) without those items being traced to individual rooms?
Why do many hotels have copies of the Bible in each room?	Hotels; Religion; Hotels and Lodging; The Bible; 	I've been traveling quite a bit lately, and I've noticed that its common practice for bibles to be left in the nightstands of most hotel rooms. How did this practice start, and why does it seem as common as constructing a building with no real 13th floor?
Do hotels give out the most undesirable rooms at check-in by default? If so, why?	Hotels; 	It seems like whenever I forget to ask or state a preference, I am given a room with no view, at the end of a long hallway etc
Is it common to be unable to fall asleep in a hotel room?	Travel; Sleep; Hotels; 	I have trouble falling asleep in hotel rooms. What can I do about this?
Why are there old phones in the bathrooms of nice hotel rooms?	Amenities; Telephones; Hotels; 	I'm assuming this was some kind of trend over ten years ago. Perhaps there was a fad for catching up with friends while taking care of ...any bathroom-related activity. Or perhaps there were enough heart attacks in the bathroom. Someone enlighten me.
How do I get a hotel to give me a free room upgrade?	Vacations; Hotels; 	We're staying at a hotel this weekend that has been known, according to friends, to give the occasional room upgrade. This is done, as far as I can gather, according to the whim of the front desk clerk. What's the best strategy for jumping on this gravy train? Should we just ask them directly? Be obvious that the occasion our visit is something romantic (which it happens to be)? Any advice is appreciated. Thanks.
How dirty are hotel room toilets and sinks and showers?	Hotels; Cleanliness; 	It varies by hotel, obviously, but do most disinfect everything?
How do hotel room auction sites generate revenue?	E-Commerce; 	With some hotel rooms starting bids at $1, how does it work for both hotels & such auction sites?
Why is there always a bible in every hotel room in the US?	Religion; 	
Do I have the same rights as I would in my homestead when renting a hotel room?	Law Enforcement and the Police; 	what rights do I have if I'm renting a hotel room if a police officer asks to enter the room?  Would my homestead rights to ask for a search warrant still apply?
Why are there no gambling machines in hotel rooms in Las Vegas?	Las Vegas; Gambling; Casinos; 	It seems like the casinos would want you to gamble as much as possible so why isn't there the possibility to do this from your room? Is there a law against it?
Why do so many hotel rooms have stucco ceilings?	Hotels; 	
Why do some Courtyard Marriott hotel rooms have doorbells?	Hotel Design and Development; Marriott; Hotels; 	
What places should I know in Cusco-Peru? (For example: Restaurants, discos, hotels, etc.)	Peru; Travel; Cusco, Peru; 	
What are good tips to know if you are staying at the Ace Hotel for the first time?	Hotels in New York City; Ace Hotel; Hotels; 	
I'm a hotel manager. What do I need to know to transition to managing a hostel, how would it be different?	Hostels; 	
What's the deal with the hotel situation for SXSW Interactive (March 9-14)? We have a group that has been on the SXSW housing waitlist since Sept. I'm getting nervous. Has anyone heard of any hotels that are releasing rooms?	SXSW 2012; 	
What's the one great thing that people would like to see in a hotel room ... that little thing, the one we'd ask, "how hard can it be to provide?" ... that never seems to be there?	Travel; Travel Hacks; International Travel; Amenities; Hotel Design and Development; Hospitality; Hotels; Hotel Management; 	
Who are some popular musicians with a reputation for trashing hotel rooms while on tour?	Music; 	Are there any notorious examples? Were they permanently banned from the hotel? Were they sued? Arrested?
Looking to rent a condo/hotel room in South Beach in April. Any recommendations?	Hotels; Housing; 	Budget - $500/night. Want to be near night life. Also, traveling with an 18 month old, so room/condo with kitchen would be ideal.
Why do newly built hotels install ice machines near guest rooms?	Hotels; Amenities; 	Why do luxury hotels often fill guest room ice buckets each evening? Do people in hotels consume much ice?
Why are single king and double queen hotel rooms typically priced the same?	Hotel Management; 	
Why do hotel rooms often have few, or inconveniently located electrical outlets?	Hotels; 	Many of the hotel rooms I've stayed in have had very few sets of plugs available, and some that have a reasonable number have them located far away from the beds. Is there any particular reason why this is the case?
Do hotel cleaning people sometimes steal items from the rooms of their guests?	Crime; Hotel Management; Travel; Theft; Hotels; 	
Can I negotiate with the Ritz Carlton hotel regarding their room costs?	Hotels; Ritz-Carlton; 	
Is it worth renting a place on vacation, or should I just book a hotel room?	Hotels; Rentals; Vacations; Vacation Rentals; Travel; Apartment Rentals; 	What things should you take into consideration when making a decision?
Can you record hotel room reservation if paid by reward points as business expense?	Business Taxes; Hotels; Business Travel; Accounting; 	The room reservation is for a business trip, but I'm using my reward points to pay for it. Can I still record it as business expense for tax purposes? If so, what would I need to justify the price? Thanks.
Why do Chinese hotels often ask if you want a room on the fourth (4th) floor?	Travel and Tourism in China; Hotels; 	I've traveled to China a few times, and even though I already have a room reserved, I often get asked if I want a room on the 4th floor.
How do I resolve overcharges for additional nights/rooms after a stay in a hotel?	Hotels; Hotel Overcharges; 	A hotel I stayed at for three nights keeps authorizing charges for additional nights. Even after discussing the issues with the front desk yesterday while checking out and having been told there wouldn't be more charges, another authorization showed up on the card just last night.  This is not a case of using the minibar or damaging the room, these authorizations are for extra nights. There are now 5 authorizations in addition to the 1 valid authorization. Is there anything I can do to prevent further authorizations? Should I bother engaging with the hotel or deal with this via my credit card?
As a hotel guest, do you feel weird being in the room when the housekeeping staff are cleaning it?	Maids; Hospitality; Travel; Survey Questions; Manners and Etiquette; Hotels; 	For housekeeping folks, do you feel weird if the guest is in the room while you're working?  For both: is it acceptable for a guest to be in the hotel room when it's being cleaned? What's the etiquette?
Which hotels in Las Vegas have the best in room guest Internet?	Las Vegas; 	
Do hotels have rules about whether cleaning staff can clean a room while you are in it?	Hotels; Hotel Management; 	In Bangkok, housekeeping showed up about an hour after I called for it, and I have been sitting in a bath robe trapped in a corner of the room while he cleans, trying to remain as clothed as possible.  However, in Las Vegas, I remember the hotel requiring that everyone leave the room during cleaning, as some kind of policy (this was during a hacker convention, and maybe they were afraid of assaults on staff).  What is the usual policy?
How do boutique hotels ensure they have high room occupancy rates?	Boutique Hotels; Travel; E-Commerce; Hotels; 	Bigger hotels can block sell their inventory to Orbitz, Priceline, Expedia and other online brokers. For a boutique hotels with say 4 to 20 rooms, this doesn't seem feasible.   Also, publicly slashing prices won't go down well with your regular customers or may bring in the wrong type of customer which might harm your reputation.  What are boutique hotels doing to make sure their rooms don't remain empty? Anonymously slashing prices through platforms for flash sales? Mystery Hotel deals? HotelTonight?
How do the wireless hotel key card room locks communicate?	Keys; Hotels; How Does X Work?; 	
Does "bribing" the hotel desk clerk actually work in terms of getting room upgrades?	Hotels and Lodging; Hotels; Bribery; 	I've read that slipping many desk clerks a $20 bill at time of check-in can actually result in room upgrades (if available). Is this true?
Why are people reluctant to drink the tap water in US hotel rooms?	Tap Water; Water; Drinking Water; Travel; Hotels; 	People when traveling buy bottled water when staying in hotel rooms when tap water is perfectly safe.
Why don't hotels ask for ID when issuing a new room key?	Travel; Hotels and Lodging; Hotels; 	I have been travelling in hotels for some time, and was wondering if others had this experience and/or gave it any thought?
How do hotels discover the proper premium for room service to maximize profit?	Pricing; Economics; Room Service; Hotels; 	This is a follow-up question to Why is room service so ridiculously expensive? [ http://www.quora.com/Why-is-room-service-so-ridiculously-expensive ].
Why do I often come across hotel rooms without toilet plungers?	Bathrooms; Hotel Management; Hotels; Toilets; 	Is it common for hotels to not have plungers? What's the reason for this?
How hotel maintain room inventories with so many OTA'S? Do they use some software etc?	Travelocity; Startup Founders and Entrepreneurs; Room 77; Travelguru; Hotels; Expedia; 	We want to become aggregators for hotel room booking but bit different. Like to know how hotel's maintain room inventories with OTAS. How they update so many booking done via online, offline, direct walkin. Do they use particular software or different software for different agencies.
How often are hotel rooms reserved beforehand vs. walk in/bought the night of?	Hotels; Travel; 	
Is there a chance that the vacuum cleaner of the people who clean your hotel room could suck up items that you have?	Hotels; 	
How many people in 2010 booked hotel rooms online?	Hotels; Travel Startups and Companies; Online Shopping; 	or in previous years ?
Why do hotels ask how many people will stay in a room?	Hotels; Travel; 	
Will most hotels deliver condoms to your room if you call reception and tell them you forgot to bring them?	Hotels; 	
When you travel for business with coworkers do you normally share a hotel room?	Business Travel; 	Is it normal to expect employees to share hotel rooms? Professional sports team do it. Does this expectation change as a company goes from startup to big company?
How do you get into the Boom Boom Room at the Standard Hotel in NYC?	Hotels in New York City; Nightlife in New York City; The Standard (hotel); Andre Balazs; 	It's now a private club for friends of Andre Balazs, but is there still a way to get in?
Should I pick a hotel room that has sound proof walls or just regular walls and why?	Hotels; Apartment Rentals; Apartments; Rentals; Travel; 	I was just wondering what most business people prefer when they pick a hotel.or a place to stay. Is it better for focusing on work or does it not really matter to you?
Where can I buy the robes available in the rooms at the Ace Hotel in Portland?	Ace Hotel; Portland, OR; 	They're grey with a hood
How long should it take to clean an hotel room in the right way?	Hotels; Hotel Management; Cleaning; 	daily cleaning and new guest cleaning
How do hotels react when you book a room for one person but end up bringing someone else back to your room?	Hotels; Travel; 	I've never done this myself, so I don't know, but there seems to be a stereotypical scenario where someone goes to a new city on business, meets someone at a local nightlife spot, and brings said person back to the hotel room.  (I have once let a friend crash at my hotel room, and once been the friend crashing at a hotel room, after a night of drinking.)  What do hotels think about this sort of situation?  Do they feel like you're trying to get away with something?  Are you technically supposed to notify them to increase your rate for that night?  Or is this just accepted practice?  Also, I'd be interested if there's any difference between the national hotel chains versus independent hotels.
How does jetsetter and agoda work? Do they purchase rooms or manually check with hotels for availability? As all hotels use different booking systems.	Booking Systems; Travel Websites; Startups; How Does X Work?; 	
What are the questions used in a fun filled team activity to get to know the team outside a discussion room?	Leadership Development; Human Behavior; Team Building; People Management; Leadership; 	Greetings All, I work as a team leader and would be taking over a new team in a week. I would want to have a fun filled questioner for the team members to see how well they know each other, what would they want etc. what are you waiting for? just add a funny question and lets see if we have a awesome list! Thanks :)
How do you know if with your door shut you don't get enough oxygen in your room and what's the impact such as in case there's too much CO2?	Home Improvement; Architecture; Civil Engineering; 	
How does a hotel website "know" what is available and what is not? How does the system get updated so quickly?	Web Design; Web Development; Computer Programming; 	
There are 50 people in a room, you don't know any of them: how do you ensure they all meet each other?	Meeting New People; Ice Breakers; 	What are some effective and engaging exercises or ice breakers to help introduce everyone to each other? so at the end of the interaction, everyone will want to add each other on Facebook.
Do you know of any room fragrancer that doubles as a decoration? I need one.	Home Improvement; Survey Questions; 	
Does any one know a good green hotel in jaipur, India?	Travel; 	
Why would someone want to know the worst hotel somewhere?	Hotels; Travel; Hotel Recommendations; 	What are they hoping to gain from the answer?
I want to know how is Taj Exotica hotel in Goa?	Travel; Hotels; 	
How does the Four Seasons know your name before you check into the hotel?	Customer Service; Four Seasons Hotels & Resorts; Luxury Hotels; 	
Anyone know of an available hotel in Cannes from 21st-24th June?	Cannes, Côte d'Azur, France; International Travel; Hotels; 	I need to book a hotel for my boss (Director level) who has now decided to attend the Cannes Lions festival in France in June
Is there any beach hotel in Kanyakumari or a sea front hotel? What are the rates for such hotels?	Travel; 	
What are the hotels in Pittsburgh most like the Ace Hotel or a W Hotel?	Pittsburgh; 	
Pune hotels - any feedback on o-hotel  - what are the rates?	Travel; Pune, Maharashtra, India; Hotels; 	
What is the combined hotel occupancy of all the hotels on the Strip?	Hotels in Las Vegas; Las Vegas; 	
What synonyms are there for "meeting room"?	Offices; Interior Design; 	
What should I do if my roommate has a furby in our room?	Roommates; 	HELP
What is chat room?	Chat (text, voice, video); 	
What is it like to have a spider in your room?	What Does It Feel Like to X?; Spiders; 	
What is a virtual reality room?	Smart Home; Virtual Reality Room; Virtual Reality; 	
What is the room temperature of space?	Outer Space; 	How does the the temperature drop so suddenly when in the suns shadow. Is there some other force cooling the universe, like air conditioning at a larger scale.
What is the elephant in the room?	Idioms; 	
What is it like to have a maggot in your room?	What Does It Feel like to Have X as a Pet?; Roommates; 	
What are some good chat rooms?	Chat (text, voice, video); Online Services; 	This is a follow-up question to Where can one find the shallowest conversations on the Internet nowadays? [ http://www.quora.com/Where-can-one-find-the-shallowest-conversations-on-the-Internet-nowadays ].
What is the optimal room temperature?	Medicine and Healthcare; Health and Wellness; Houses; 	
What do you think about Academic Room?	Online Education; Online Higher Education; Coursera; Academic Earth; Open Online Courses; Academic Room; Survey Questions; Higher Education; Future of Education; 	Academic Room is a social platform providing resources, people and opportunities for specific disciplines at one location.  Academics and subject matter experts can create highly specialized communities that can be enriched with profiles, video lectures, bibliographies, articles, books, reviews, images, dissertations, blogs and groups.
What color should I paint my room?	Interior Design; 	
Broadway & theater: Do any websites provide reviews of theater seats similar to Seat Guru does for airline seats and Room 77 does foe hotel rooms?	Reviews; Broadway Productions; Seating; Event Tickets; Theatre; 	It's difficult to figure out where the good seats are. On Broadway some premium or "house seats" have put me close to the stage but unable to look deep inside the set or facing away from most of the action taking place on stage. Surely there is someone out there building a reliable and perhaps crowdsourced resource that provides updated info about theater seats. I just can't seem to find it...
In The Hangover,  at the start of the movie, who is the girl in the pink dress who is leaving the hotel room right before the guys wake up? Why was she sneaking out of the room?	Movies; The Hangover (2009 movie); 	
What is the best hotel in Prague?	Prague, Czech Republic; 	
What's the worst hotel in Asturias?	Hotels; Travel; Asturias, Spain; Europe; 	
What's the worst hotel in France?	France; Hotels; Travel; 	
What's the worst hotel in Moscow?	Moscow, Russia; Hotel Recommendations; Hotels; 	
What's the worst hotel in Serbia?	Serbia; Hotels; 	
What's the worst hotel in Manchester?	Manchester, Greater Manchester, UK; 	
What's the worst hotel in Toronto?	Canada; Travel; Toronto, ON; Hotels; 	
What's the worst hotel in Manila?	Manila; Travel; Hotels; 	
What's the worst hotel in Orlando?	Hotels; Orlando, FL; Travel; 	
What's the worst hotel in Bangladesh?	Travel; Bangladesh; Hotels; 	
What's the worst hotel in Skopje?	Hotels; Skopje, Macedonia; Republic of Macedonia; Travel; 	
What's the worst hotel in Kiev?	Travel; Kyiv; Ukraine; Hotels; 	
What's the worst hotel in Valparaíso?	Hotels; Valparaíso, Chile; Chile; Travel; 	
What's the worst hotel in Uzbekistan?	Uzbekistan; Asia; Hotels; Travel; 	
What's the worst hotel in Singapore?	Hotels; Travel; Singapore; 	
What's the worst hotel in Moorea?	Moorea; Hotels; French Polynesia; Travel; 	
What thing do you hate the most about hotels?	Hotels and Lodging; Hotels; Lodging; Hotel Management; Survey Questions; Bed and Breakfast; 	
What are the best hotels in Melbourne?	Melbourne, Victoria, Australia; Travel; 	
What are the best hotels in Barcelona?	Hotels; 	
What are the most unique hotels in the world?	Travel and Tourism in Europe; Best Photographs of X; Travel; International Travel; Hotels; 	
What are the good hotels in Seoul?	South Korea; 	
What hotels have the most comfortable beds?	Beds and Mattresses; Hotels; 	Inspired by Martijn Sjoorda [ http://www.quora.com/Martijn-Sjoorda ]'s reflections on hotel bed comfort, where can one reliably find it?  Martijn Sjoorda's answer to Travel: What's the one great thing that people would like to see in a hotel room ... that little thing, the one we'd ask, "how hard can it be to provide?" ... that never seems to be there? [ http://www.quora.com/Travel/Whats-the-one-great-thing-that-people-would-like-to-see-in-a-hotel-room-that-little-thing-the-one-wed-ask-how-hard-can-it-be-to-provide-that-never-seems-to-be-there/answer/Martijn-Sjoorda ]
What hotel is pictured here?	Hotels; 	It is an SPG property. Just got it in an email.  
What's the best hotel in hakone?	Hotels; 	
What is the best hotel in Strasbourg?	Hotels; 	In France looking for a four or five star hotel
What are some guidelines for tipping at hotels?	Tipping; 	Do you tip the housekeeping staff based on a percentage of the room rate? Is it important to leave the tip daily, instead of at the end of the stay? What about other people you encounter at the hotel?
What are some budget hotels in Manali?	Travel; Manali, Himachal Pradesh, India; Travel and Tourism in India; 	My uncle is planning a trip to Manali with his family. He is confused about the booking of hotels.
What's the best hotel in Budapest?	Travel; Budapest; Hungary; Hotels; 	This is a followup question to What's the worst hotel in Budapest? [ http://www.quora.com/Whats-the-worst-hotel-in-Budapest ]
What's the best hotel in Madrid?	Best Hotels; Madrid, Spain; Hotels; Hotel Recommendations; Spain; 	
What are the best hotels in Honolulu?	Hawaii (state); Travel and Tourism in Hawaii; Travel; Honolulu, HI; 	
What is the best Hotel in Taormina?	Hotel Recommendations; Taormina; Sicily, Italy; 	
What's the worst hotel in Brussels?	Hotels; 	
What's the worst hotel in Japan?	Travel; Hotels; Japan; 	Please explain why.
What's the worst hotel in Mumbai?	Travel; Mumbai; India; Hotels; 	
What's the worst hotel in Jordan?	Hotels; Travel; Jordan; 	
What's the worst hotel in Patagonia?	Argentina; Patagonia; Chile; Hotels; Travel; 	
What's the worst hotel in Minsk?	Travel; Belarus; Hotels; Minsk; 	
What's the worst hotel in Valencia?	Hotels; 	
What's the worst hotel in Sarajevo?	Bosnia and Herzegovina; Europe; Hotels; 	
What's the worst hotel in Brisbane?	Travel; Brisbane, Queensland, Australia; Hotels; 	
What's the worst hotel in Iran?	Travel; Hotels; Iran; 	
What's the worst hotel in Zimbabwe?	Travel; Hotels; Zimbabwe; 	
What's the worst hotel in Malawi?	Malawi; Worst of X; Travel; Hotels; 	
What's the worst hotel in Guatemala?	Hotels; Central America; Travel; Guatemala; 	
What's the worst hotel in Anguilla?	Travel; Hotels; Anguilla; 	
What's the worst hotel in Istanbul?	Hotels; Travel; Turkey (country); Istanbul; 	
What's the worst hotel in Malta?	Travel; Malta; Hotels; 	
What's the worst hotel in Arequipa?	Peru; Arequipa; Travel; Hotels; 	
What's the worst hotel in Manaus?	Hotels; Brazil; Travel; Manaus, Brazil; 	
What's the worst hotel in Myanmar?	Myanmar (Burma); Hotels; Travel; Asia; 	
What's the worst hotel in Bangkok?	Travel; Bangkok; Hotels; Thailand; 	
What's the worst hotel in Phuket?	Thailand; Phuket; Travel; Hotels; 	
What is Amic Hotels Mallorca?	Spain; Mediterranean Sea; Majorca; Hotels; Travel Agents; Balearic Islands; 	
What's the best hotel in Tahiti?	Best Hotels; Tahiti; Holidays; Hotels; 	Going to Tahiti in May and have yet to book a hotel before cruise.
What is the best hotel in the world?	Best Hotels; Hotels; 	
What is the most luxurious hotel in Kurdistan?	Kurdistan; Hotels; Kurdistan Hotel; 	
What's your favourite hotel in Edinburgh?	Travel and Tourism in the UK; Edinburgh, UK; 	
What is your worst hotel experience?	Survey Questions; Travel Hacks; Hotels; Worst of X; Hospitality; 	After reading about a stranger walked into a locked hotel room with a woman alone inside, I am thinking about locking every single lock I have on my hotel room in the future. What is your worst hotel experience? My worst experience would be staying at a windowless room at a hotel in Shanghai
What are the cheapest hotels in HK?	Hong Kong; 	
What's the coolest hotel in Istanbul?	Travel; Hotels; Turkey (country); Istanbul; 	Arguably a slightly different question (and answer) than Travel: What is the best hotel in Istanbul? [ http://www.quora.com/Travel/What-is-the-best-hotel-in-Istanbul-2 ] ; )
What do hotels do with the leftover soap?	Hotels; 	All those mini-soaps - how are they recycled, if at all? What about the other toiletries?
